time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,F,Y45-54,ES	53.9 	44.6 	59.5 	67.5 
2008,18P5-25,F,Y45-54,FR	58.9 	46.7 	62.3 	70.6 
2008,18P5-25,F,Y45-54,HU	41.4 	34.1 	40.4 	52.6 
2008,18P5-25,F,Y45-54,LV	37.5 	25.5 	36.5 	43.4 
2008,18P5-25,F,Y45-54,MT	38.5 u	24.1 u	45.5 u	41.7 u
2008,18P5-25,F,Y45-54,PL	44 	38.8 	42.1 	54.3 
2008,18P5-25,F,Y45-54,RO	38.5 	40.5 	37.9 	37.5 
2008,18P5-25,F,Y45-54,SI	46.4 	17.4 	51.9 	65.0 u
2008,18P5-25,F,Y45-54,SK	47.6 	23.5 u	50 	47.5 
2008,18P5-25,F,Y45-54,TR	25.9 u	22.6 u	42.8 	40.5 
2008,18P5-25,F,Y55-64,AT	37 	28 	41.2 	43.7 
2008,18P5-25,F,Y55-64,BE	44.2 	37.9 	45.6 	54.9 
2008,18P5-25,F,Y55-64,BG	34.4 	32.8 	30.6 	47.1 
2008,18P5-25,F,Y55-64,CY	35.5 	29.5 	39.3 	62 
2008,18P5-25,F,Y55-64,CZ	28 	20.1 u	27.4 	: 
2008,18P5-25,F,Y55-64,DE	42.3 	37.7 	41.5 	50.6 
2008,18P5-25,F,Y55-64,EE	27.5 	27.8 	24.2 	51.6 u
2008,18P5-25,F,Y55-64,EL	29.5 	23.8 	31.7 	52.3 
2008,18P5-25,F,Y55-64,ES	40.1 	32.4 	59.2 	52.6 
2008,18P5-25,F,Y55-64,FR	48.3 	43.2 	46.2 	65.8 
2008,18P5-25,F,Y55-64,HU	27.3 	31.5 	23.7 	30.5 
2008,18P5-25,F,Y55-64,LV	20.9 	24.6 	16.6 	30 
2008,18P5-25,F,Y55-64,MT	36.6 u	36.2 u	38.4 	31.6 u
2008,18P5-25,F,Y55-64,PL	31.3 	25.2 	32 	39.1 
2008,18P5-25,F,Y55-64,RO	36.7 	37.6 	34.3 	42.9 
2008,18P5-25,F,Y55-64,SI	30.9 	20.5 	30.6 	59.8 u
2008,18P5-25,F,Y55-64,SK	30 	19.2 u	27.9 	47.9 
2008,18P5-25,F,Y55-64,TR	24.6 u	22.3 u	40.7 u	46 u
2008,18P5-25,F,Y65-74,AT	35.4 	28.8 	41.7 	44 
2008,18P5-25,F,Y65-74,BE	39.8 	37.2 	39.9 	49.7 
