time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,T,Y18-24,SK	73.3 	76.7 	72.2 	74.5 
2008,18P5-25,T,Y18-24,TR	74.3 	73.1 	76.6 	68.4 
2008,18P5-25,T,Y25-34,AT	63.3 	47.6 	64.5 	68.2 
2008,18P5-25,T,Y25-34,BE	58.7 	51 	54.6 	64.3 
2008,18P5-25,T,Y25-34,BG	57.6 	50.3 	58.6 	62 
2008,18P5-25,T,Y25-34,CY	58.4 	51.5 	57.1 	61.8 
2008,18P5-25,T,Y25-34,CZ	54.4 	62.3 u	53.6 	54.9 
2008,18P5-25,T,Y25-34,DE	56.7 	54.3 	54.1 	64.8 
2008,18P5-25,T,Y25-34,EE	59.1 	48.9 	60.2 	65.2 
2008,18P5-25,T,Y25-34,EL	57.6 	56 	52.6 	66.6 
2008,18P5-25,T,Y25-34,ES	56.7 	51.9 	54.3 	63 
2008,18P5-25,T,Y25-34,FR	63.4 	58.9 	59.1 	68.9 
2008,18P5-25,T,Y25-34,HU	57.4 	47.3 	53.9 	68.7 
2008,18P5-25,T,Y25-34,LV	57 	48.7 	54.7 	66.6 
2008,18P5-25,T,Y25-34,MT	45.8 	30 u	42.2 	56.4 
2008,18P5-25,T,Y25-34,PL	56.7 	52.6 	52.4 	63.9 
2008,18P5-25,T,Y25-34,RO	59 	57.6 	58.4 	62.1 
2008,18P5-25,T,Y25-34,SI	57.5 	35.5 u	53.4 	75.0 
2008,18P5-25,T,Y25-34,SK	61.2 	: 	59.6 	66.4 
2008,18P5-25,T,Y25-34,TR	57.4 	55.7 	58.3 	62.2 
2008,18P5-25,T,Y35-44,AT	52.1 	40.6 	53 	56.1 
2008,18P5-25,T,Y35-44,BE	52.7 	43.5 	47.8 	60.8 
2008,18P5-25,T,Y35-44,BG	48.6 	46 	45.9 	58.3 
2008,18P5-25,T,Y35-44,CY	48.6 	46.4 	48.6 	50.1 
2008,18P5-25,T,Y35-44,CZ	47 	: 	46.4 	53.8 u
2008,18P5-25,T,Y35-44,DE	47.9 	37.2 	46.9 	54.3 
2008,18P5-25,T,Y35-44,EE	47.6 	36.8 	47.6 	56.8 
2008,18P5-25,T,Y35-44,EL	46.9 	37.9 	46.5 	55.2 
2008,18P5-25,T,Y35-44,ES	47.5 	40.3 	48.2 	55.4 
2008,18P5-25,T,Y35-44,FR	56.4 	47.1 	54.5 	64.9 
2008,18P5-25,T,Y35-44,HU	43 	46.4 	39.6 	49.6 
2008,18P5-25,T,Y35-44,LV	43.2 	43.1 	41.1 	47.4 
2008,18P5-25,T,Y35-44,MT	41.9 	26.9 u	44 u	39.5 
2008,18P5-25,T,Y35-44,PL	45.7 	40.9 	43.1 	55.4 
2008,18P5-25,T,Y35-44,RO	46.9 	50.4 	45.7 	50.8 
2008,18P5-25,T,Y35-44,SI	42.3 	35.4 u	36.2 	60.1 
2008,18P5-25,T,Y35-44,SK	48.3 	: 	46.4 	55.1 
2008,18P5-25,T,Y35-44,TR	36 	35.4 	40 	34 
2008,18P5-25,T,Y45-54,AT	42.5 	35 	41.7 	49.6 
2008,18P5-25,T,Y45-54,BE	47.7 	39.3 	49.8 	54.1 
2008,18P5-25,T,Y45-54,BG	40.1 	38.7 	38.3 	46.4 
2008,18P5-25,T,Y45-54,CY	39.6 	38.2 	40.3 	40.1 
2008,18P5-25,T,Y45-54,CZ	30.3 	47.4 u	26.6 	50.4 u
2008,18P5-25,T,Y45-54,DE	42.9 	37.2 	42.2 	47.3 
2008,18P5-25,T,Y45-54,EE	39.6 	42 	38.8 	42.5 
2008,18P5-25,T,Y45-54,EL	34.8 	32.7 	40 	31.9 
2008,18P5-25,T,Y45-54,ES	41.1 	35.2 	44 	50 
2008,18P5-25,T,Y45-54,FR	49 	41 	49.7 	58.5 
2008,18P5-25,T,Y45-54,HU	33.6 	34.3 	32 	38.3 
2008,18P5-25,T,Y45-54,LV	35.8 	31.4 	35.6 	39.1 
2008,18P5-25,T,Y45-54,MT	32 u	23.4 u	35.9 	33.9 
2008,18P5-25,T,Y45-54,PL	36 	37.6 	34.2 	43.1 
2008,18P5-25,T,Y45-54,RO	34.9 	39.6 	34 	31.7 
2008,18P5-25,T,Y45-54,SI	33.1 	22.0 	32.7 	48.1 
2008,18P5-25,T,Y45-54,SK	38.5 	26.2 u	39.5 	38.6 
2008,18P5-25,T,Y45-54,TR	28.8 	27.1 	34 	35 
2008,18P5-25,T,Y55-64,AT	33.4 	27.8 	34.3 	37.5 
2008,18P5-25,T,Y55-64,BE	36.8 	32.2 	37.8 	42.5 
2008,18P5-25,T,Y55-64,BG	32.8 	33.3 	30.4 	38.9 
2008,18P5-25,T,Y55-64,CY	29.6 	26.7 	30 	40.5 
2008,18P5-25,T,Y55-64,CZ	23.2 	22.3 	21.4 	34.2 u
2008,18P5-25,T,Y55-64,DE	34.4 	31.2 	33.3 	38.8 
2008,18P5-25,T,Y55-64,EE	30.9 	30.7 	29.3 	44.2 
2008,18P5-25,T,Y55-64,EL	25 	24 	22.3 	31.2 
2008,18P5-25,T,Y55-64,ES	32.1 	27.3 	40.7 	40.1 
2008,18P5-25,T,Y55-64,FR	41.9 	37.9 	39.1 	57 
2008,18P5-25,T,Y55-64,HU	28.4 	31.5 	26 	32.1 
2008,18P5-25,T,Y55-64,LV	26 	30.7 	23.4 	27.9 
2008,18P5-25,T,Y55-64,MT	27.7 u	27.8 u	29.2 	21.3 
2008,18P5-25,T,Y55-64,PL	29.1 	27.4 	28.7 	33.6 
2008,18P5-25,T,Y55-64,RO	34.3 	37.9 	31.3 	34.7 
2008,18P5-25,T,Y55-64,SI	28.9 	19.8 	30.5 	41.5 u
2008,18P5-25,T,Y55-64,SK	26.8 	25.2 	25.2 	35.4 
2008,18P5-25,T,Y55-64,TR	29.3 	28.1 u	36.4 	34.9 
2008,18P5-25,T,Y65-74,AT	31.5 	26.9 	34.2 	35.4 
2008,18P5-25,T,Y65-74,BE	38.4 	37.8 	39.4 	36.5 
2008,18P5-25,T,Y65-74,BG	33.1 	33.5 	32.3 	33.8 
2008,18P5-25,T,Y65-74,CY	28.5 	27.6 	32.3 	26.7 
2008,18P5-25,T,Y65-74,CZ	22.6 	30.2 	18.8 	: 
2008,18P5-25,T,Y65-74,DE	33.9 	33.3 	33.5 	36.2 
2008,18P5-25,T,Y65-74,EE	30.7 	27.3 	31 	49.1 
2008,18P5-25,T,Y65-74,EL	22.1 	21.2 	22 	27.3 
2008,18P5-25,T,Y65-74,ES	27.1 	23.9 	39.3 	37.6 
2008,18P5-25,T,Y65-74,FR	40.6 	38.1 	40.2 	55.5 
2008,18P5-25,T,Y65-74,HU	26.1 	22.1 	26.1 	39.1 
2008,18P5-25,T,Y65-74,LV	23.8 	21.3 	23.8 	31.2 
2008,18P5-25,T,Y65-74,MT	26.4 u	23.1 u	37.3 	20.8 u
2008,18P5-25,T,Y65-74,PL	26.9 	25.1 	26.8 	33.3 
2008,18P5-25,T,Y65-74,RO	38.4 	39.6 	37.2 	33.4 
2008,18P5-25,T,Y65-74,SI	26.4 	23.1 	25.4 	45.2 u
2008,18P5-25,T,Y65-74,SK	25.7 	22.4 	25.7 	32.5 
2008,18P5-25,T,Y65-74,TR	28 u	27.5 u	27.7 u	39.6 u
2008,18P5-25,T,Y75-84,AT	37.6 	35 	41.4 	37.1 
2008,18P5-25,T,Y75-84,BE	40.5 	38.1 	41.9 	48.1 
2008,18P5-25,T,Y75-84,BG	41.5 	43.6 	38.6 	35.6 u
2008,18P5-25,T,Y75-84,CY	40.2 	38.6 	50.2 	35.8 u
2008,18P5-25,T,Y75-84,CZ	29.1 	22.4 	27.9 	: 
2008,18P5-25,T,Y75-84,DE	35.1 	33.3 	35.4 	39.9 
2008,18P5-25,T,Y75-84,EE	37.3 	36.3 	37.9 	43.5 
2008,18P5-25,T,Y75-84,EL	33.7 	33 	39 	30.9 
2008,18P5-25,T,Y75-84,ES	30.6 	29.2 	43.9 	36.5 
2008,18P5-25,T,Y75-84,FR	43.2 	41.2 	44.4 	60.8 
2008,18P5-25,T,Y75-84,HU	32.2 	31 	33.7 	35.5 u
2008,18P5-25,T,Y75-84,LV	29.6 	29.1 	29.2 	32.9 
2008,18P5-25,T,Y75-84,MT	34 u	30.7 u	50 u	: 
2008,18P5-25,T,Y75-84,PL	33.1 	32.2 	30.2 	48.6 
2008,18P5-25,T,Y75-84,RO	51.9 	53.3 	47.1 	47.5 
2008,18P5-25,T,Y75-84,SI	33.3 	38.3 	30.5 u	: 
2008,18P5-25,T,Y75-84,SK	29.7 	25.1 	34.1 	: 
2008,18P5-25,T,Y75-84,TR	45 u	45.5 u	: 	: 
2008,18P5-25,T,Y_GE85,AT	53.5 	50.2 	64.6 	47.7 u
2008,18P5-25,T,Y_GE85,BE	53.6 	52.6 	56.1 	55.4 
2008,18P5-25,T,Y_GE85,BG	68.8 	68.2 	: 	: 
2008,18P5-25,T,Y_GE85,CY	47.2 	48.4 	: 	: 
2008,18P5-25,T,Y_GE85,CZ	30.3 u	: 	: 	: 
2008,18P5-25,T,Y_GE85,DE	52.8 	: c	: c	: c
2008,18P5-25,T,Y_GE85,EE	47.9 u	: 	: 	: 
2008,18P5-25,T,Y_GE85,EL	41 	38.6 	: 	: 
2008,18P5-25,T,Y_GE85,ES	42.2 u	40.2 u	44.8 u	66.6 u
2008,18P5-25,T,Y_GE85,FR	54.1 	50.8 	59.8 	77.6 
2008,18P5-25,T,Y_GE85,HU	54.9 	53.6 	: 	: 
2008,18P5-25,T,Y_GE85,LV	40.2 	43.5 u	: 	: 
2008,18P5-25,T,Y_GE85,PL	42.7 	40.5 	46.2 	56.3 u
2008,18P5-25,T,Y_GE85,RO	62.6 u	60.7 u	77.2 u	: 
2008,18P5-25,T,Y_GE85,SK	39.4 u	53.1 u	: 	: 
2008,18P5-25,T,Y_GE85,TR	45.3 u	42.9 u	: 	: 
2008,25-30,F,TOTAL,AT	29.5 	38.5 	26.3 	23.3 
2008,25-30,F,TOTAL,BE	26.8 	33.6 	25.9 	21.1 
2008,25-30,F,TOTAL,BG	33 	39 	32.2 	25.6 
2008,25-30,F,TOTAL,CY	27.7 	36.3 	25.4 	18.6 
2008,25-30,F,TOTAL,CZ	30 	28.2 	32 	19.3 
2008,25-30,F,TOTAL,DE	28.8 	30.4 	29.4 	24.8 
2008,25-30,F,TOTAL,EE	27.1 	31.3 	27 	20.2 
2008,25-30,F,TOTAL,EL	31.3 	40.1 	25.2 	23.2 
2008,25-30,F,TOTAL,ES	29 	35.1 	24.5 	20.6 
2008,25-30,F,TOTAL,FR	24.5 	30.8 	23.4 	16.5 
2008,25-30,F,TOTAL,HU	31.1 	32.6 	33.5 	22.9 
2008,25-30,F,TOTAL,LV	32.7 	37.1 	33.3 	27.5 
2008,25-30,F,TOTAL,MT	29.6 u	36.5 u	26.4 	26.3 
2008,25-30,F,TOTAL,PL	30.4 	35.8 	30.7 	23.7 
2008,25-30,F,TOTAL,RO	36.1 	39.3 	35.1 	30.2 
2008,25-30,F,TOTAL,SI	30.7 	41.5 	28.2 	20.9 
2008,25-30,F,TOTAL,SK	27.3 	34.5 	27.3 	22.2 
2008,25-30,F,TOTAL,TR	29.1 u	31.6 u	20.6 	23.8 
2008,25-30,F,Y18-24,AT	13.4 	19 	11.2 	15.7 
2008,25-30,F,Y18-24,BE	8.9 	15.3 	7.9 	6.3 
2008,25-30,F,Y18-24,BG	6.7 	13.4 	4.8 	: 
2008,25-30,F,Y18-24,CY	10.9 	7.3 u	10.6 	12.8 
2008,25-30,F,Y18-24,CZ	8.2 	: 	11.3 	: 
2008,25-30,F,Y18-24,DE	11.7 	: c	12.4 	: c
2008,25-30,F,Y18-24,EE	10 	9 	10.1 	10.9 u
2008,25-30,F,Y18-24,EL	13.6 	23.8 u	10.7 	17.1 u
2008,25-30,F,Y18-24,ES	12.6 	14.4 	10.7 	13.9 
2008,25-30,F,Y18-24,FR	12.7 	15.3 	13.6 	8.8 
2008,25-30,F,Y18-24,HU	11.5 	13.7 	10.9 	9.7 u
2008,25-30,F,Y18-24,LV	8.8 	12.2 	9.1 	2.8 
2008,25-30,F,Y18-24,MT	16.7 	: 	15 	22 
2008,25-30,F,Y18-24,PL	10.9 	9.1 	11.8 	7.6 
2008,25-30,F,Y18-24,RO	9.5 	11.6 	8.9 	3.2 u
2008,25-30,F,Y18-24,SI	14.2 	18.0 u	12.1 	: 
2008,25-30,F,Y18-24,SK	8.5 	7.6 	9.6 	5.4 
2008,25-30,F,Y18-24,TR	10.3 	13.4 u	5.9 	4.4 
2008,25-30,F,Y25-34,AT	17.4 	33.7 	13.7 	15.5 
2008,25-30,F,Y25-34,BE	24.4 	31.1 	30.6 	19.6 
2008,25-30,F,Y25-34,BG	16 	29.4 	14.9 	8 
2008,25-30,F,Y25-34,CY	16.9 	22.3 	19.8 	13.2 
2008,25-30,F,Y25-34,CZ	17.9 	: 	19.4 	15.9 u
2008,25-30,F,Y25-34,DE	21.1 	: c	24.1 	17.2 
2008,25-30,F,Y25-34,EE	15.4 	24.9 	14.6 	11.8 
2008,25-30,F,Y25-34,EL	20 	28.8 	18.2 	18.7 
2008,25-30,F,Y25-34,ES	20.1 	23.2 	24 	15.5 
2008,25-30,F,Y25-34,FR	19.6 	22.2 	21.5 	17.3 
2008,25-30,F,Y25-34,HU	16.7 	17.5 u	18.8 	13.2 
2008,25-30,F,Y25-34,LV	24.2 	32.8 	27.2 	17.2 
2008,25-30,F,Y25-34,MT	23.8 	: 	24.9 	16.4 
2008,25-30,F,Y25-34,PL	17.2 	18.3 	20.8 	12.5 
2008,25-30,F,Y25-34,RO	25.2 	33.4 	25.7 	16.2 
2008,25-30,F,Y25-34,SI	15.6 	: 	16.4 	10.7 
2008,25-30,F,Y25-34,SK	16.1 	: 	16.8 	13.6 
2008,25-30,F,Y25-34,TR	24.3 	26.2 u	23.6 	16.4 
2008,25-30,F,Y35-44,AT	25.3 	36.7 	24.1 	19.9 
2008,25-30,F,Y35-44,BE	21.8 	22.7 	21.3 	21.9 
2008,25-30,F,Y35-44,BG	27.2 	37 	28.3 	19.8 
2008,25-30,F,Y35-44,CY	22.9 	24.9 	24.1 	19.2 
2008,25-30,F,Y35-44,CZ	21.5 	: 	20.2 	: 
2008,25-30,F,Y35-44,DE	24.5 	: c	25.3 	21.5 
2008,25-30,F,Y35-44,EE	23.9 	31.3 u	24.7 	17.1 
2008,25-30,F,Y35-44,EL	22.6 	28.2 	27.5 	10.2 
2008,25-30,F,Y35-44,ES	25.3 	30 	26.2 	19.8 
2008,25-30,F,Y35-44,FR	19.4 	26 	19.9 	15 
2008,25-30,F,Y35-44,HU	25.2 	25 	29.5 	18.1 
2008,25-30,F,Y35-44,LV	35.7 	41.3 u	35.8 	34.4 
2008,25-30,F,Y35-44,MT	26.4 u	: 	23.8 u	29 u
2008,25-30,F,Y35-44,PL	28.1 	27.3 	30.7 	21.6 
2008,25-30,F,Y35-44,RO	36.8 	38.8 	37.5 	29 
2008,25-30,F,Y35-44,SI	27.4 	39.9 u	30.6 	17.6 
2008,25-30,F,Y35-44,SK	20.1 	: 	19.4 	22.4 
2008,25-30,F,Y35-44,TR	35.6 	36.6 u	33.5 	29.4 
2008,25-30,F,Y45-54,AT	30.5 	37.4 	31.3 	20.6 
2008,25-30,F,Y45-54,BE	26.1 	34.3 	22.8 	21.7 
2008,25-30,F,Y45-54,BG	39.5 	48.8 	39.7 	31.9 
2008,25-30,F,Y45-54,CY	32.4 	35.5 	33.4 	25.6 
2008,25-30,F,Y45-54,CZ	44.9 	: 	44.9 	: 
2008,25-30,F,Y45-54,DE	28.8 	: c	28.9 	27 
2008,25-30,F,Y45-54,EE	31 	23.7 	32.5 	28.3 
2008,25-30,F,Y45-54,EL	34.4 	37 	28.9 	38 
2008,25-30,F,Y45-54,ES	30.3 	34.5 	27.9 	24 
2008,25-30,F,Y45-54,FR	25 	30 	24.2 	19.2 
2008,25-30,F,Y45-54,HU	33.1 	26.5 	36.6 	29.3 
2008,25-30,F,Y45-54,LV	34.7 	47.8 	31.7 	36.2 
2008,25-30,F,Y45-54,MT	39.6 u	47.1 u	35.9 u	37.5 u
2008,25-30,F,Y45-54,PL	36.5 	37.9 	36.6 	34.9 
2008,25-30,F,Y45-54,RO	47.1 	43.9 	47.3 	54.6 
2008,25-30,F,Y45-54,SI	33.8 	39.0 	34.5 	26.1 u
2008,25-30,F,Y45-54,SK	34 	32.4 u	33.6 	36.4 
2008,25-30,F,Y45-54,TR	39.4 u	39 u	37.9 	46.1 
2008,25-30,F,Y55-64,AT	39.1 	39.3 	38.7 	40 
2008,25-30,F,Y55-64,BE	33.3 	37.8 	29.2 	29.8 
2008,25-30,F,Y55-64,BG	46.2 	47.4 	48.2 	39.2 
2008,25-30,F,Y55-64,CY	40.7 	42.1 	39.9 	34 
2008,25-30,F,Y55-64,CZ	42.7 	39.7 u	47.7 	: 
2008,25-30,F,Y55-64,DE	34.2 	: c	35.3 	33.1 
2008,25-30,F,Y55-64,EE	34.2 	19.3 	39.3 	27.9 u
2008,25-30,F,Y55-64,EL	43.4 	47.2 	39.9 	31.4 
2008,25-30,F,Y55-64,ES	39.1 	42.1 	32 	33.7 
2008,25-30,F,Y55-64,FR	32 	34.5 	33.8 	21.8 
2008,25-30,F,Y55-64,HU	43.2 	28.6 	52.5 	40 
2008,25-30,F,Y55-64,LV	41.8 	43.5 	45.1 	30.9 
2008,25-30,F,Y55-64,MT	32.8 u	31.9 u	32.6 	42.1 u
2008,25-30,F,Y55-64,PL	39.1 	33.8 	40.1 	44.4 
2008,25-30,F,Y55-64,RO	48.7 	49.1 	48.7 	46.3 
2008,25-30,F,Y55-64,SI	40.3 	43.4 	42.8 	24.9 u
2008,25-30,F,Y55-64,SK	38.8 	34.1 u	41.4 	30.8 
2008,25-30,F,Y55-64,TR	39.1 u	38.9 u	42.4 u	38.9 u
2008,25-30,F,Y65-74,AT	44.4 	44.9 	45 	40.2 
2008,25-30,F,Y65-74,BE	37.1 	35.6 	42.6 	32.4 
2008,25-30,F,Y65-74,BG	49.4 	46.3 	51.7 	57 
2008,25-30,F,Y65-74,CY	44.3 	45 	41.1 	: 
2008,25-30,F,Y65-74,CZ	38.5 	32.6 u	39.8 	: 
2008,25-30,F,Y65-74,DE	39.1 	37.5 	41.4 	33.9 
2008,25-30,F,Y65-74,EE	37.9 	44.1 	33.6 	34.3 u
2008,25-30,F,Y65-74,EL	43.9 	40.9 	55.8 	55.5 u
2008,25-30,F,Y65-74,ES	42.9 	44.2 	36.1 	37.6 
2008,25-30,F,Y65-74,FR	33.3 	35 	34.8 	14.1 
2008,25-30,F,Y65-74,HU	46 	46.3 	51.1 	33.7 u
2008,25-30,F,Y65-74,LV	42.6 	39.3 	47.6 	37.6 
2008,25-30,F,Y65-74,MT	35.5 u	36.8 u	26.9 u	: 
2008,25-30,F,Y65-74,PL	42.9 	44.7 	40.9 	42.6 
2008,25-30,F,Y65-74,RO	47.2 	48 	43.8 	52.8 u
2008,25-30,F,Y65-74,SI	46.8 	55.7 	37.9 u	: 
2008,25-30,F,Y65-74,SK	42.2 	37.6 	43 	56 u
2008,25-30,F,Y65-74,TR	39.9 u	40 u	: 	: 
2008,25-30,F,Y75-84,AT	43.2 	46.3 	40.3 	30 u
2008,25-30,F,Y75-84,BE	34.9 	36.8 	34.7 	27.3 u
2008,25-30,F,Y75-84,BG	42.7 	38.2 	49.8 	: 
2008,25-30,F,Y75-84,CY	34.2 	35.3 	18.2 u	: 
2008,25-30,F,Y75-84,CZ	46.5 	35.6 u	56.7 	: 
2008,25-30,F,Y75-84,DE	39.7 	41.3 	38.9 	29.9 
2008,25-30,F,Y75-84,EE	39.6 	40.7 	38.1 	: 
2008,25-30,F,Y75-84,EL	43.8 	44.1 	35.6 u	59 u
2008,25-30,F,Y75-84,ES	41.6 u	41.4 u	36.7 	53.7 u
2008,25-30,F,Y75-84,FR	32.7 	33.9 	29 	21.2 
2008,25-30,F,Y75-84,HU	40.1 	39.9 	43.1 	: 
2008,25-30,F,Y75-84,LV	41 	45.6 	39.7 	25.7 u
2008,25-30,F,Y75-84,MT	28.6 u	30.7 u	14.3 u	: 
2008,25-30,F,Y75-84,PL	42.8 	43.1 	43.3 	37.4 
2008,25-30,F,Y75-84,RO	32.7 	32 	37.3 	28.7 u
2008,25-30,F,Y75-84,SI	46.8 	43.0 	: 	: 
2008,25-30,F,Y75-84,SK	48.7 	52.8 	44.7 	: 
2008,25-30,F,Y75-84,TR	30.8 u	31.5 u	: 	: 
2008,25-30,F,Y_GE85,AT	30.3 	31.6 	23.4 u	: 
2008,25-30,F,Y_GE85,BE	30.7 	32.4 	26.1 	23.8 
2008,25-30,F,Y_GE85,BG	20 u	27.2 u	: 	: 
2008,25-30,F,Y_GE85,CY	29 u	30 u	: 	: 
2008,25-30,F,Y_GE85,CZ	43.5 u	: 	: 	: 
2008,25-30,F,Y_GE85,DE	: c	: c	: c	: c
2008,25-30,F,Y_GE85,EL	43.7 	46.6 	: 	: 
2008,25-30,F,Y_GE85,ES	34.9 u	36.3 u	: 	: 
2008,25-30,F,Y_GE85,FR	25 	26.8 	16 	15.2 u
2008,25-30,F,Y_GE85,HU	29.5 	25 u	: 	: 
2008,25-30,F,Y_GE85,LV	34 	30.1 u	: 	: 
2008,25-30,F,Y_GE85,PL	36.2 	38.4 	28.3 	: 
2008,25-30,F,Y_GE85,RO	28.3 u	27 u	: 	: 
2008,25-30,F,Y_GE85,SK	39.4 u	25.1 u	: 	: 
2008,25-30,F,Y_GE85,TR	41.2 u	46.4 u	: 	: 
2008,25-30,M,TOTAL,AT	44 	47.3 	43.1 	44.1 
2008,25-30,M,TOTAL,BE	40.8 	41.1 	40.8 	40.6 
2008,25-30,M,TOTAL,BG	46.4 	44 	46.7 	49.5 
2008,25-30,M,TOTAL,CY	44.5 	44.7 	42.9 	47 
2008,25-30,M,TOTAL,CZ	47.1 	31.7 	48.3 	49.1 
2008,25-30,M,TOTAL,DE	44 	37.5 	44.7 	46.4 
2008,25-30,M,TOTAL,EE	38.9 	36.2 	39.9 	38.9 
2008,25-30,M,TOTAL,EL	46.7 	47.6 	43 	50.1 
2008,25-30,M,TOTAL,ES	45.6 	45.1 	46.5 	45.6 
2008,25-30,M,TOTAL,FR	39.3 	41.2 	40.5 	34.8 
2008,25-30,M,TOTAL,HU	39.3 	32.3 	40.7 	42 
2008,25-30,M,TOTAL,LV	44.5 	41.1 	44.6 	49.9 
2008,25-30,M,TOTAL,MT	44.6 	47.6 u	44.1 	42.1 
2008,25-30,M,TOTAL,PL	46.3 	41.1 	47.3 	47.5 
2008,25-30,M,TOTAL,RO	49.9 	46.7 	50.5 	53.7 
2008,25-30,M,TOTAL,SI	49.0 	42.5 	49.7 	53.3 
2008,25-30,M,TOTAL,SK	44.5 	35.5 	45.4 	45 
2008,25-30,M,TOTAL,TR	39.2 	40.4 	33.4 	43.9 
2008,25-30,M,Y18-24,AT	18.3 	16.3 	19.2 	16.1 
2008,25-30,M,Y18-24,BE	17.9 	19.6 	19 	16.3 
2008,25-30,M,Y18-24,BG	23.9 	12.2 	27.1 	: 
2008,25-30,M,Y18-24,CY	25.6 	40.8 	21.2 	29.4 u
2008,25-30,M,Y18-24,CZ	32.9 	16.1 u	36.1 	: 
2008,25-30,M,Y18-24,DE	21 	18.1 	23.7 	: c
2008,25-30,M,Y18-24,EE	21.7 	18.6 	22.8 	28.5 u
2008,25-30,M,Y18-24,EL	21.9 	12.7 u	23.9 	: 
2008,25-30,M,Y18-24,ES	22.7 	20 	25.5 	24.9 
2008,25-30,M,Y18-24,FR	15.5 	10 	17.8 	15.2 
2008,25-30,M,Y18-24,HU	19 	15.9 	20.3 	: 
2008,25-30,M,Y18-24,LV	22.7 	17.1 	25.6 	24.6 u
2008,25-30,M,Y18-24,MT	33.5 	: 	34.6 	32.4 u
2008,25-30,M,Y18-24,PL	26.3 	18.4 	28.8 	30.6 
2008,25-30,M,Y18-24,RO	25.4 	18.4 	26.9 	: 
2008,25-30,M,Y18-24,SI	31.5 	12.0 u	37.9 	: 
2008,25-30,M,Y18-24,SK	23.5 	18.9 	25.1 	20.8 u
2008,25-30,M,Y18-24,TR	19.1 	19.9 	16.1 	35.5 
2008,25-30,M,Y25-34,AT	34.9 	42.5 	35.3 	31.1 
2008,25-30,M,Y25-34,BE	32.6 	27.1 	34.4 	32.2 
2008,25-30,M,Y25-34,BG	43.8 	44.7 	43.9 	42.7 
2008,25-30,M,Y25-34,CY	39.3 	45.5 	38.7 	37.1 
2008,25-30,M,Y25-34,CZ	47.2 	: 	46 	52 u
2008,25-30,M,Y25-34,DE	36.2 	: c	35.9 	34.4 
2008,25-30,M,Y25-34,EE	36.2 	41.5 	35.1 	32.9 u
2008,25-30,M,Y25-34,EL	38.9 	35.1 	43.6 	33.1 
2008,25-30,M,Y25-34,ES	40.7 	38.5 	44 	40.5 
2008,25-30,M,Y25-34,FR	30.1 	20.7 	34.3 	28.8 
2008,25-30,M,Y25-34,HU	36 	27.6 	38.6 	32.3 
2008,25-30,M,Y25-34,LV	43 	43.9 	41.3 	46.1 
2008,25-30,M,Y25-34,MT	36.6 	: 	35.7 	39 
2008,25-30,M,Y25-34,PL	46.9 	41.4 	48.5 	44.8 
2008,25-30,M,Y25-34,RO	46 	44.3 	46 	47.5 
2008,25-30,M,Y25-34,SI	44.7 	: 	46.1 	35.9 u
2008,25-30,M,Y25-34,SK	38.9 	: 	40.7 	33.4 
2008,25-30,M,Y25-34,TR	36.1 	35 	39.6 	33.7 
2008,25-30,M,Y35-44,AT	45.9 	50.4 	45.8 	44.7 
2008,25-30,M,Y35-44,BE	39.7 	42.1 	43.8 	33.9 
2008,25-30,M,Y35-44,BG	48.5 	43 	51.1 	43.7 
2008,25-30,M,Y35-44,CY	48.7 	41.6 	49.5 	52 
2008,25-30,M,Y35-44,CZ	44.1 	: 	47 	: 
2008,25-30,M,Y35-44,DE	46.9 	: c	47.2 	45.1 
2008,25-30,M,Y35-44,EE	45.5 	39.3 	46.7 	44.9 u
2008,25-30,M,Y35-44,EL	51.6 	56.9 	45.8 	54.7 
2008,25-30,M,Y35-44,ES	47 	46.4 	48.2 	46.5 
2008,25-30,M,Y35-44,FR	40.3 	42.5 	41.6 	36.4 
2008,25-30,M,Y35-44,HU	48.3 	43.7 	47.6 	54.8 
2008,25-30,M,Y35-44,LV	49.6 	45.6 	50.3 	51.2 
2008,25-30,M,Y35-44,MT	50.8 	50 u	52.8 	46.5 u
2008,25-30,M,Y35-44,PL	51.7 	53.6 	51.9 	49.9 
2008,25-30,M,Y35-44,RO	54.1 	49.5 	55.1 	52.5 
2008,25-30,M,Y35-44,SI	53.7 	39.2 u	55.2 	58.4 u
2008,25-30,M,Y35-44,SK	49.8 	: 	50.2 	49.2 
2008,25-30,M,Y35-44,TR	47.8 	46.3 	43.8 	59.8 
2008,25-30,M,Y45-54,AT	53.7 	59.3 	55 	49 
2008,25-30,M,Y45-54,BE	45.3 	41.6 	46.9 	46.8 
2008,25-30,M,Y45-54,BG	55.2 	49.5 	55.9 	58.9 
2008,25-30,M,Y45-54,CY	48.7 	42.1 	49.2 	55.3 
2008,25-30,M,Y45-54,CZ	48.1 	: 	52.3 	: 
2008,25-30,M,Y45-54,DE	46.8 	: c	45.4 	48.8 
2008,25-30,M,Y45-54,EE	44.2 	44.3 	44.2 	43.9 u
2008,25-30,M,Y45-54,EL	52.7 	50.7 	47.5 	58.2 
2008,25-30,M,Y45-54,ES	51.9 	50.6 	57 	50 
2008,25-30,M,Y45-54,FR	46.7 	46.5 	46.3 	48 
2008,25-30,M,Y45-54,HU	42.1 	30.4 	43.3 	45.5 
